long q t syndrome,111975006
long qt syndrome,111975006
prolonged q t interval syndrome,111975006
high output heart failure,10091002
parasystole,10164001
parasystolic beat,10164001
chronic right sided heart failure,10335000
multifocal premature ventricular complexes,10626002
multifocal pvcs,10626002
acute congestive heart failure,10633002
bigeminal rhythm,11157007
ventricular bigeminy,11157007
bouveret hoffmann syndrome,12026006
essential paroxysmal tachycardia,12026006
paroxysmal tachycardia,12026006
pt paroxysmal tachycardia,12026006
sinoatrial arrest with nodal ventricular escape,13395001
dressler beats,13640000
fusion beats,13640000
right bundle branch block posterior fascicular block and incomplete left bundle branch block,14718009
cardiac arrest after obstetrical surgery and or other procedure including delivery,16574001
accelerated atrioventricular conduction,16797001
accessory atrioventricular conduction,16797001
pre excitation atrioventricular conduction,16797001
ventricular ectopic beats,17338001
ventricular extrasystoles,17338001
ventricular premature beats,17338001
ventricular premature contractions,17338001
ventricular premature systoles,17338001
atrial arrhythmia,17366009
anomalous atrioventricular excitation,17869006
recurrent rheumatic heart disease,20005002
bilateral bundle branch block,20143001
low ventricular voltage,20329001
romano ward syndrome,20852007
impending infarction,25106000
low output heart failure,25544003
chronic ectopic atrial tachycardia,26950008
unifocal premature ventricular complexes,27337007
unifocal pvcs,27337007
left ventricular s t changes,27649004
left ventricular st changes,27649004
narrow qrs complex,28630001
shortened qrs complex,28630001
ectopic rhythm,29320008
axis perpendicular to frontal plane,29489007
extrasystolic arrhythmia,29717002
vagal autonomic bradycardia,29894000
vagal bradycardia,29894000
rbbb right bundle branch block with left anterior fascicular block,30667004
right bundle branch block and left anterior fascicular block,30667004
right bundle branch block with left anterior fascicular block,30667004
right bundle branch block anterior fascicular block and posterior fascicular block,32425009
right bundle branch block with left bundle branch block,32758004
right bundle branch block with left main stem bundle branch block,32758004
indeterminate axis by ekg,32775005
indeterminate axis by electrocardiogram,32775005
ectopic rhythm abnormality,33413000
postvalvulotomy syndrome,33644002
cardiac tamponade,35304003
pericardial tamponade,35304003
